iter	Passed	Remaining
220	855	3014
221	858	3006
222	860	2999
223	863	2990
224	865	2980
225	867	2971
226	871	2968
227	879	2979
228	886	2984
229	890	2981
230	896	2984
231	900	2979
232	902	2970
233	904	2962
234	907	2953
235	911	2949
236	915	2947
237	917	2938
238	920	2931
239	923	2923
240	927	2919
241	930	2915
242	933	2908
243	936	2901
244	939	2894
245	942	2890
246	947	2887
247	949	2879
248	951	2870
249	953	2861
250	958	2858
251	962	2856
252	965	2849
253	967	2841
254	969	2832
255	973	2829
256	977	2825
257	979	2817
258	982	2809
259	984	2801
260	986	2793
261	992	2795
262	994	2787
263	997	2779
264	999	2771
265	1001	2763
266	1005	2760
267	1008	2755
268	1011	2747
269	1013	2740
270	1015	2732
271	1018	2724
272	1022	2722
273	1026	2720
274	1029	2712
275	1031	2705
276	1033	2697
277	1038	2697
278	1041	2691
279	1044	2684
280	1046	2676
281	1048	2669
282	1050	2661
283	1055	2660
284	1057	2654
285	1060	2648
286	1063	2642
287	1069	2643
288	1071	2637
289	1074	2629
290	1076	2622
291	1078	2616
292	1081	2608
293	1085	2605
294	1089	2602
295	1091	2595
296	1093	2588
297	1095	2581
298	1100	2579
299	1105	2580
300	1108	2574
301	1111	2568
302	1115	2566
303	1119	2561
304	1122	2557
305	1126	2555
306	1129	2549
307	1132	2544
308	1136	2540
309	1138	2533
310	1140	2527
311	1143	2521
312	1148	2520
313	1152	2518
314	1156	2513
315	1158	2508
316	1163	2506
317	1166	2502
318	1171	2500
319	1175	2497
320	1179	2494
321	1183	2491
322	1186	2486
323	1188	2480
324	1191	2473
325	1193	2467
326	1196	2463
327	1200	2460
328	1203	2454
329	1205	2448
330	1208	2441
331	1212	2438
332	1216	2437
333	1219	2431
334	1221	2425
335	1224	2419
336	1230	2421
337	1233	2415
338	1237	2413
339	1243	2413
340	1247	2411
341	1250	2406
342	1254	2402
343	1261	2404
344	1263	2399
345	1266	2394
346	1271	2392
347	1277	2392
348	1280	2388
349	1283	2384
350	1287	2380
351	1292	2379
352	1295	2374
353	1300	2372
354	1302	2366
355	1308	2366
356	1311	2362
357	1314	2357
358	1317	2352
359	1324	2354
360	1327	2350
361	1329	2343
362	1332	2338
363	1334	2331
364	1338	2329
365	1343	2327
366	1345	2321
367	1348	2315
368	1350	2309
369	1354	2307
370	1358	2302
371	1360	2297
372	1362	2291
373	1365	2285
374	1367	2279
375	1371	2276
376	1374	2271
377	1377	2265
378	1379	2259
379	1381	2253
380	1383	2248
381	1386	2243
382	1392	2242
383	1394	2236
384	1396	2230
385	1398	2224
386	1402	2222
387	1406	2218
388	1409	2213
389	1411	2208
390	1414	2202
391	1424	2208
392	1427	2204
393	1430	2200
394	1436	2199
395	1439	2194
396	1441	2189
397	1443	2183
398	1445	2177
399	1450	2175
400	1454	2171
401	1456	2166
402	1458	2160
403	1460	2155
404	1463	2149
405	1467	2147
406	1470	2142
407	1472	2136
408	1474	2131
409	1477	2125
410	1479	2120
411	1484	2118
412	1487	2113
413	1489	2108
414	1491	2102
415	1493	2097
416	1516	2119
417	1521	2118
418	1525	2115
419	1531	2114
420	1533	2109
421	1536	2103
422	1538	2099
423	1541	2093
424	1545	2091
425	1550	2088
426	1552	2083
427	1554	2078
428	1557	2073
429	1562	2071
430	1567	2069
431	1569	2064
432	1572	2058
433	1576	2055
434	1581	2053
435	1584	2049
436	1588	2046
437	1594	2046
438	1597	2041
439	1600	2037
440	1603	2033
441	1606	2027
442	1610	2024
443	1613	2020
444	1618	2018
445	1620	2012
446	1625	2010
447	1627	2005
448	1633	2004
449	1636	1999
450	1640	1997
451	1643	1992
452	1648	1989
453	1650	1985
454	1653	1980
455	1658	1978
456	1663	1976
457	1665	1970
458	1667	1965
459	1670	1960
460	1674	1957
461	1678	1954
462	1680	1949
463	1683	1944
464	1685	1939
465	1690	1937
466	1694	1934
467	1697	1929
468	1699	1924
469	1701	1918
470	1705	1915
471	1709	1912
472	1711	1906
473	1713	1901
474	1715	1896
475	1718	1891
476	1721	1887
477	1726	1885
478	1728	1880
479	1731	1875
480	1733	1870
481	1739	1869
482	1742	1865
483	1744	1860
484	1747	1855
485	1749	1850
486	1756	1850
487	1758	1845
488	1761	1840
489	1763	1835
490	1765	1830
491	1770	1828
492	1773	1823
493	1775	1818
494	1777	1813
495	1779	1808
496	1782	1803
497	1785	1799
498	1789	1796
499	1791	1791
500	1793	1786
501	1795	1781
502	1798	1776
503	1801	1773
504	1807	1771
505	1811	1768
506	1813	1763
507	1821	1763
508	1823	1758
509	1825	1753
510	1827	1748
511	1829	1744
512	1852	1758
513	1856	1754
514	1859	1751
515	1865	1749
516	1868	1745
517	1870	1740
518	1873	1736
519	1875	1731
520	1878	1726
521	1882	1724
522	1887	1721
523	1892	1718
524	1896	1715
525	1900	1712
526	1904	1709
527	1909	1706
528	1919	1709
529	1923	1705
530	1928	1702
531	1932	1700
532	1935	1695
533	1938	1691
534	1940	1686
535	1945	1684
536	1948	1680
537	1953	1677
538	1956	1673
539	1961	1670
540	1964	1666
541	1969	1663
542	1971	1659
543	1977	1657
544	1981	1654
545	1985	1650
546	1987	1646
547	1992	1643
548	2002	1644
549	2004	1640
550	2009	1637
551	2014	1635
552	2017	1630
553	2020	1626
554	2025	1624
555	2031	1622
556	2034	1618
557	2037	1614
558	2042	1611
559	2046	1608
560	2049	1603
561	2051	1598
562	2054	1594
563	2058	1591
564	2063	1588
565	2065	1584
566	2068	1579
567	2073	1577
568	2077	1573
569	2079	1568
570	2081	1564
571	2084	1559
572	2088	1556
573	2092	1553
574	2097	1550
575	2102	1547
576	2112	1548
577	2124	1550
578	2132	1550
579	2142	1551
580	2154	1553
581	2166	1555
582	2178	1558
583	2186	1557
584	2196	1558
585	2206	1558
586	2218	1561
587	2229	1562
588	2240	1563
589	2250	1563
590	2259	1563
591	2271	1565
592	2281	1565
593	2291	1566
594	2300	1566
595	2310	1566
596	2321	1566
597	2331	1567
598	2341	1567
599	2352	1568
600	2361	1568
601	2372	1568
602	2382	1568
603	2393	1569
604	2404	1569
605	2413	1569
606	2422	1568
607	2431	1567
608	2443	1568
609	2453	1568
610	2463	1568
611	2475	1569
612	2484	1568
613	2494	1568
614	2505	1568
615	2527	1575
616	2543	1578
617	2553	1578
618	2563	1577
619	2573	1577
620	2589	1580
621	2600	1580
622	2613	1581
623	2623	1581
624	2633	1580
625	2643	1579
626	2652	1578
627	2663	1577
628	2676	1578
629	2685	1577
630	2696	1576
631	2706	1575
632	2716	1575
633	2725	1573
634	2736	1572
635	2746	1571
636	2755	1570
637	2766	1569
638	2776	1568
639	2787	1568
640	2798	1567
641	2814	1569
642	2828	1570
643	2842	1571
644	2854	1571
645	2866	1571
646	2876	1569
647	2888	1568
648	2899	1568
649	2908	1565
650	2918	1564
651	2928	1562
652	2938	1561
653	2949	1560
654	2959	1558
655	2969	1557
656	2981	1556
657	2990	1554
658	3002	1553
659	3012	1552
660	3022	1550
661	3033	1548
662	3045	1547
663	3060	1548
664	3073	1548
665	3083	1546
666	3093	1544
667	3103	1542
668	3113	1540
669	3125	1539
670	3133	1536
671	3143	1534
672	3152	1531
673	3161	1529
674	3173	1527
675	3182	1525
676	3191	1522
677	3200	1520
678	3210	1517
679	3220	1515
680	3227	1512
681	3238	1509
682	3247	1507
683	3256	1504
684	3267	1502
685	3277	1500
686	3287	1497
687	3297	1495
688	3306	1492
689	3316	1489
690	3325	1487
691	3334	1484
692	3342	1480
693	3353	1478
694	3363	1475
695	3372	1472
696	3382	1470
697	3390	1467
698	3399	1464
699	3409	1461
700	3420	1458
701	3430	1456
702	3440	1453
703	3450	1450
704	3461	1448
705	3469	1444
706	3479	1442
707	3488	1438
708	3499	1436
709	3508	1433
710	3517	1429
711	3527	1426
712	3539	1424
713	3551	1422
714	3561	1419
715	3569	1416
716	3578	1412
717	3589	1409
718	3597	1406
719	3606	1402
720	3614	1398
721	3624	1395
722	3631	1391
723	3640	1387
724	3649	1384
725	3659	1381
726	3668	1377
727	3675	1373
728	3683	1369
729	3691	1365
730	3700	1361
731	3708	1357
732	3716	1353
733	3725	1350
734	3734	1346
735	3741	1342
736	3752	1339
737	3760	1335
738	3769	1331
739	3777	1327
740	3786	1323
741	3795	1319
742	3804	1315
743	3812	1311
744	3821	1308
745	3831	1304
746	3842	1301
747	3852	1297
748	3863	1294
749	3872	1290
750	3883	1287
751	3893	1283
752	3902	1280
753	3913	1276
754	3924	1273
755	3934	1270
756	3946	1266
757	3956	1263
758	3968	1259
759	3978	1256
760	3988	1252
761	3998	1248
762	4007	1244
763	4018	1241
764	4087	1255
765	4148	1267
766	4194	1274
767	4210	1271
768	4233	1271
769	4258	1271
770	4266	1267
771	4275	1262
772	4283	1257
773	4293	1253
774	4304	1249
775	4314	1245
776	4323	1240
777	4333	1236
778	4343	1232
779	4354	1228
780	4364	1223
781	4374	1219
782	4383	1214
783	4391	1209
784	4399	1205
785	4409	1200
786	4418	1195
787	4427	1191
788	4436	1186
789	4446	1181
790	4455	1177
791	4464	1172
792	4471	1167
793	4481	1162
794	4490	1157
795	4500	1153
796	4508	1148
797	4520	1144
798	4534	1140
799	4545	1136
800	4555	1131
801	4565	1127
802	4576	1122
803	4586	1118
804	4596	1113
805	4607	1109
806	4619	1104
807	4628	1099
808	4636	1094
809	4645	1089
810	4654	1084
811	4665	1080
812	4672	1074
813	4681	1069
814	4690	1064
815	4698	1059
816	4707	1054
817	4715	1049
818	4723	1043
819	4731	1038
820	4740	1033
821	4747	1028
822	4757	1023
823	4770	1018
824	4781	1014
825	4792	1009
826	4803	1004
827	4812	999
828	4821	994
829	4830	989
830	4842	984
831	4851	979
832	4860	974
833	4869	969
834	4878	964
835	4888	959
836	4896	953
837	4907	948
838	4915	943
839	4925	938
840	4934	932
841	4943	927
842	4951	922
843	4959	916
844	4969	911
845	4983	907
846	4994	902
847	5004	897
848	5015	892
849	5026	887
850	5040	882
851	5050	877
852	5059	871
853	5069	866
854	5079	861
855	5088	856
856	5099	850
857	5109	845
858	5119	840
859	5129	834
860	5138	829
861	5148	824
862	5156	818
863	5166	813
864	5175	807
865	5185	802
866	5195	796
867	5204	791
868	5213	785
869	5222	780
870	5233	775
871	5241	769
872	5250	763
873	5260	758
874	5268	752
875	5279	747
876	5288	741
877	5297	736
878	5304	730
879	5311	724
880	5321	718
881	5329	713
882	5337	707
883	5346	701
884	5354	695
885	5364	690
886	5373	684
887	5383	679
888	5392	673
889	5401	667
890	5409	661
891	5419	656
892	5428	650
893	5438	644
894	5447	639
895	5458	633
896	5470	628
897	5479	622
898	5488	616
899	5498	610
900	5507	605
901	5516	599
902	5525	593
903	5535	587
904	5544	582
905	5554	576
906	5565	570
907	5575	564
908	5584	559
909	5594	553
910	5604	547
911	5615	541
912	5625	536
913	5635	530
914	5647	524
915	5657	518
916	5669	513
917	5679	507
918	5689	501
919	5699	495
920	5710	489
921	5720	483
922	5730	478
923	5742	472
924	5752	466
925	5764	460
926	5774	454
927	5784	448
928	5794	442
929	5805	436
930	5815	430
931	5824	424
932	5833	418
933	5843	412
934	5854	406
935	5864	400
936	5874	394
937	5884	388
938	5894	382
939	5905	376
940	5915	370
941	5926	364
942	5937	358
943	5946	352
944	5957	346
945	5973	340
946	5991	335
947	6006	329
948	6022	323
949	6035	317
950	6048	311
951	6061	305
952	6074	299
953	6086	293
954	6099	287
955	6113	281
956	6128	275
957	6136	269
958	6146	262
959	6156	256
960	6165	250
961	6176	243
962	6186	237
963	6197	231
964	6208	225
965	6217	218
966	6229	212
967	6240	206
968	6250	199
969	6260	193
970	6271	187
971	6281	180
972	6292	174
973	6301	168
974	6310	161
975	6321	155
976	6330	149
977	6340	142
978	6349	136
979	6358	129
980	6368	123
981	6378	116
982	6388	110
983	6398	104
984	6408	97
985	6418	91
986	6428	84
987	6437	78
988	6447	71
989	6460	65
990	6474	58
991	6484	52
992	6493	45
993	6502	39
994	6512	32
995	6522	26
996	6532	19
997	6542	13
998	6553	6
999	6566	0
